imagen;id_pez;profundidad de cabeza;profundidad cuerpo;profundidad cola;longitud proyectada estimada (px);longitud proyectada estimada (m);longitud real estimada (m);longitud real (m);error absoluto (mm)
corrected_2.jpg;0;0.8546768375348338;0.8546768375348338;0.8546768375348338;53.31041174104736;0.021821619813005268;0.021821619813005268;0.04;18.178380186994733
corrected_2.jpg;1;0.9295214193528559;0.9295214193528559;0.9269030491574958;48.507731342539614;0.021594511260348496;0.021752672917443237;0.04;18.247327082556765
corrected_2.jpg;2;0.8458883867632674;0.8480685114714202;0.8480685114714202;51.61395160225576;0.020963850907056276;0.021076906523405717;0.04;18.923093476594282
corrected_2.jpg;3;0.8774682198690961;0.8751345277949761;0.8751345277949761;43.60045871318328;0.018274221776983835;0.018422630112207117;0.04;21.577369887792884
corrected_2.jpg;4;0.8502599029739303;0.852462648836557;0.852462648836557;54.817880294662984;0.02238054258703018;0.02248868106015092;0.04;17.511318939849083
corrected_2.jpg;5;0.8728132160501618;0.8728132160501618;0.8751345277949761;42.5205832509386;0.01777434234055765;0.01792528197423832;0.04;22.07471802576168
corrected_2.jpg;6;0.879814391579976;0.879814391579976;0.8821731433000295;40.024992192379;0.016865348952906933;0.017029495147542525;0.04;22.970504852457477
corrected_2.jpg;7;0.8546768375348338;0.852462648836557;0.852462648836557;51.40038910358559;0.020985280553336504;0.021101768444701977;0.04;18.898231555298025
corrected_2.jpg;8;0.852462648836557;0.8569025584659141;0.852462648836557;46.32493928760188;0.019011628188002325;0.019011628188002325;0.04;20.988371811997677
corrected_2.jpg;9;0.9165754385819248;0.9089795095329033;0.9039851166233819;48.507731342539614;0.021117284492164;0.024585685089961565;0.04;15.414314910038435
corrected_2.jpg;10;1.0062708943452936;1.0001537460514012;0.9971229771239728;35.4682957019364;0.01698948053925204;0.019295772554675322;0.04;20.70422744532468
corrected_2.jpg;11;0.9401445212883172;0.9428383451315502;0.9455476507210087;47.43416490252569;0.02141911437047914;0.022090094342987383;0.04;17.90990565701262
corrected_2.jpg;12;0.8845445764809435;0.8845445764809435;0.8869287936682237;41.14608122288197;0.017430956412317566;0.01759325817022638;0.04;22.406741829773622
corrected_2.jpg;13;0.8591399019606032;0.8569025584659141;0.8546768375348338;47.92702786528704;0.01966912095176181;0.02016911656676126;0.04;19.83088343323874
corrected_2.jpg;14;0.9911162122015392;0.9911162122015392;0.988139887239973;30.479501308256342;0.01446789842418324;0.014770869814920375;0.04;25.229130185079626
corrected_2.jpg;15;0.8480685114714202;0.8480685114714202;0.8458883867632674;52.61178575186362;0.021369137572637493;0.02148006015683861;0.04;18.519939843161392
corrected_2.jpg;16;0.8569025584659141;0.8569025584659141;0.8591399019606032;40.311288741492746;0.01654364247677653;0.016694244885966904;0.04;23.305755114033097
corrected_2.jpg;17;0.9706506856959026;0.9677958307379736;0.964957719797393;32.526911934581186;0.015076467454397181;0.016115512142811074;0.04;23.884487857188926
corrected_2.jpg;18;1.82805879139395;1.8079702332467638;1.82805879139395;29.832867780352597;0.025832075008031308;0.025832075008031308;0.04;14.167924991968693
corrected_2.jpg;19;0.9764112238899436;0.9764112238899436;0.9764112238899436;41.340053217188775;0.019332000968042586;0.019332000968042586;0.04;20.667999031957415
corrected_2.jpg;20;1.2323991852094045;1.246403721404966;1.2559182536294313;28.460498941515414;0.01698925208022095;0.029013466969515983;0.04;10.986533030484019
corrected_2.jpg;21;0.9321546245068301;0.9295214193528559;0.9295214193528559;48.507731342539614;0.021594511260348496;0.02175446358695691;0.04;18.24553641304309
corrected_2.jpg;22;0.852462648836557;0.852462648836557;0.852462648836557;27.459060435491963;0.011210733946168203;0.011210733946168203;0.04;28.7892660538318
corrected_2.jpg;23;0.9428383451315502;0.9428383451315502;0.9455476507210087;50.93132631298737;0.022998273619443094;0.02315730826870522;0.04;16.84269173129478
corrected_2.jpg;24;0.841561591946064;0.8394147511502832;0.8394147511502832;56.43580423808985;0.022688423968150667;0.022789767606559354;0.04;17.21023239344065
corrected_2.jpg;25;0.901508445070989;0.8990453072429263;0.8990453072429263;39.92492955535426;0.01719090541651937;0.017366469906107823;0.04;22.633530093892176
corrected_2.jpg;26;0.8845445764809435;0.8821731433000295;0.879814391579976;57.0087712549569;0.024086213210981908;0.02454628925198717;0.04;15.453710748012831
corrected_2.jpg;27;1.0479317912449395;1.051279816137096;1.051279816137096;39.0;0.019636132194821777;0.019919511998315008;0.04;20.080488001684994
